Rank Current,State,Abbr. State Name,"Census population Estimate, July 1, 2019","Percent of the total U.S. population, 2018"
24,Alabama,AL,4903185,1.48%
48,Alaska,AK,731545,0.22%
14,Arizona,AZ,7278717,2.17%
33,Arkansas,AR,3017825,0.91%
1,California,CA,39512223,11.96%
21,Colorado,CO,5758736,1.72%
29,Connecticut,CT,3565287,1.08%
45,Delaware,DE,973764,0.29%
49,District of Columbia,DC,705749,0.21%
3,Florida,FL,21477737,6.44%
8,Georgia,GA,10617423,3.18%
40,Hawaii,HI,1415872,0.43%
39,Idaho,ID,1787147,0.53%
6,Illinois,IL,12671821,3.85%
17,Indiana,IN,6732219,2.02%
31,Iowa,IA,3155070,0.95%
35,Kansas,KS,2913314,0.88%
26,Kentucky,KY,4467673,1.35%
25,Louisiana,LA,4648794,1.41%
42,Maine,ME,1344212,0.40%
19,Maryland,MD,6045680,1.83%
15,Massachusetts,MA,6949503,2.09%
10,Michigan,MI,9986857,3.02%
22,Minnesota,MN,5639632,1.70%
34,Mississippi,MS,2976149,0.90%
18,Missouri,MO,6137428,1.85%
43,Montana,MT,1068778,0.32%
37,Nebraska,NE,1934408,0.58%
32,Nevada,NV,3080156,0.92%
41,New Hampshire,NH,1359711,0.41%
11,New Jersey,NJ,8882190,2.69%
36,New Mexico,NM,2096829,0.63%
4,New York,NY,19453561,5.91%
9,North Carolina,NC,10488084,3.14%
47,North Dakota,ND,762062,0.23%
7,Ohio,OH,11689100,3.53%
28,Oklahoma,OK,3956971,1.19%
27,Oregon,OR,4217737,1.27%
5,Pennsylvania,PA,12801989,3.87%
44,Rhode Island,RI,1059361,0.32%
23,South Carolina,SC,5148714,1.54%
46,South Dakota,SD,884659,0.27%
16,Tennessee,TN,6833174,2.05%
2,Texas,TX,28995881,8.68%
30,Utah,UT,3205958,0.96%
50,Vermont,VT,623989,0.19%
12,Virginia,VA,8535519,2.58%
13,Washington,WA,7614893,2.28%
38,West Virginia,WV,1792065,0.55%
20,Wisconsin,WI,5822434,1.76%
51,Wyoming,WY,578759,0.17%
