Province/State,Abbr. State,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020
Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,29,39,46,78,83,131,138,138
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,9,12,15,21,21
Arizona,AZ,1,1,1,1,1,2,4,4,4,6,9,9,9,12,13,18,20,27,45,78,118,152,152
Arkansas,AR,0,0,0,0,0,0,0,0,0,0,1,6,6,12,16,22,22,33,62,96,122,165,165
California,CA,12,21,25,35,51,59,81,95,101,144,177,221,282,340,426,557,698,751,952,1177,1364,1642,1642
Colorado,CO,0,0,0,0,0,3,7,7,7,15,34,45,49,101,131,160,160,184,277,363,390,476,476
Connecticut,CT,0,0,0,0,0,0,0,0,0,2,3,5,11,22,24,30,68,68,159,194,194,223,223
Delaware,DE,0,0,0,0,0,0,0,0,0,0,1,1,4,6,7,8,16,19,30,38,45,47,47
District of Columbia,DC,0,0,0,0,0,0,0,2,2,5,10,10,10,10,16,22,22,31,40,71,77,102,102
Florida,FL,0,1,2,2,3,3,7,10,13,15,28,35,50,76,115,155,216,314,417,563,659,830,830
Georgia,GA,0,0,2,2,2,3,5,5,10,17,23,31,42,66,99,121,146,199,287,420,507,600,600
Hawaii,HI,0,0,0,0,0,0,1,1,1,2,2,2,2,4,6,7,10,14,16,26,37,48,48
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,8,9,11,23,36,42,42
Illinois,IL,3,4,4,4,5,5,6,7,7,12,25,32,46,64,93,105,161,162,422,585,753,1049,1049
Indiana,IN,0,0,0,0,0,1,1,2,3,6,11,13,13,16,20,25,30,39,60,86,128,201,201
Iowa,IA,0,0,0,0,0,0,0,0,3,8,13,16,17,17,18,23,23,29,44,45,68,90,90
Kansas,KS,0,0,0,0,0,0,0,1,1,1,1,1,5,8,8,11,18,18,34,44,57,64,64
Kentucky,KY,0,0,0,0,0,1,1,1,4,6,8,10,14,14,20,21,26,27,37,47,87,99,99
Louisiana,LA,0,0,0,0,0,0,0,0,1,1,6,19,36,77,91,136,196,257,392,538,585,837,837
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,17,32,42,52,56,70,89,89
Maryland,MD,0,0,0,0,0,3,3,5,5,8,9,12,18,26,32,41,60,85,107,149,193,244,244
Massachusetts,MA,1,1,2,2,2,6,6,22,22,92,95,108,123,138,164,197,218,218,328,413,525,646,646
Michigan,MI,0,0,0,0,0,0,0,0,0,0,2,2,16,25,33,53,65,83,334,552,788,1037,1037
Minnesota,MN,0,0,0,0,0,1,1,1,2,3,5,9,14,21,35,54,60,77,89,115,138,169,169
Mississippi,MS,0,0,0,0,0,0,0,0,0,0,0,1,1,6,10,13,21,34,50,80,140,207,207
Missouri,MO,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5,6,11,18,31,53,74,100,100
Montana,MT,0,0,0,0,0,0,0,0,0,0,1,1,1,5,7,7,9,11,11,15,21,31,31
Nebraska,NE,0,0,0,0,0,1,1,1,3,3,5,10,13,14,17,18,21,24,29,37,38,51,51
Nevada,NV,0,0,0,0,1,2,2,4,4,4,7,14,17,21,24,45,56,55,95,114,161,190,190
New Hampshire,NH,0,1,2,2,2,2,2,4,4,4,5,6,6,7,13,17,26,26,44,44,55,65,65
New Jersey,NJ,0,0,0,0,2,2,4,5,5,15,23,29,29,69,98,178,267,267,742,890,1327,1914,1914
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,3,5,10,10,13,17,23,23,35,43,43,57,57
New York,NY,0,1,2,11,23,31,76,106,142,173,220,328,421,525,732,967,1706,2495,5365,8310,11710,15793,15793
North Carolina,NC,0,0,1,1,1,2,2,2,2,7,7,15,17,24,33,38,64,70,123,172,253,302,302
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,6,18,19,28,28,28
Ohio,OH,0,0,0,0,0,0,0,0,0,3,4,5,13,26,37,50,67,86,119,173,248,355,355
Oklahoma,OK,0,0,0,0,0,0,1,1,1,2,2,2,2,4,7,10,19,19,44,49,53,67,67
Oregon,OR,1,3,3,3,3,3,6,14,14,15,19,24,30,32,36,39,66,68,88,114,114,161,161
Pennsylvania,PA,0,0,0,0,0,2,2,6,7,12,16,22,41,47,66,77,112,152,206,303,396,509,509
Rhode Island,RI,1,2,2,2,2,2,3,3,3,3,5,5,14,20,20,21,23,33,44,54,66,83,83
South Carolina,SC,0,0,0,0,0,0,2,2,3,7,10,12,13,19,28,33,47,47,81,126,171,196,196
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,8,8,8,9,9,10,11,11,11,14,14,21,21
Tennessee,TN,0,0,0,0,1,1,1,3,3,7,9,18,26,32,39,52,74,79,154,233,371,505,505
Texas,TX,0,0,0,0,3,4,8,11,13,13,21,27,43,57,72,85,110,173,260,394,581,627,627
Utah,UT,0,0,0,0,0,0,1,1,1,2,3,5,9,10,28,39,51,51,80,78,136,181,181
Vermont,VT,0,0,0,0,0,0,0,1,1,1,1,2,2,5,8,12,12,18,22,29,29,52,52
Virginia,VA,0,0,0,0,0,0,0,2,2,7,9,17,30,41,45,49,67,77,99,122,156,221,221
Washington,WA,11,18,27,39,70,78,102,122,122,267,366,442,568,572,643,904,1076,1014,1376,1524,1793,1996,1996
West Virginia,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,8,12,12
Wisconsin,WI,0,0,0,0,0,0,0,0,0,3,6,8,19,27,32,47,72,92,159,207,282,381,381
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,11,15,18,19,23,24,24
